,Count
2022-05-19,1.0
2022-05-20,
2022-05-21,
2022-05-22,
2022-05-23,
2022-05-24,
2022-05-25,
2022-05-26,
2022-05-27,2.0
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,
2022-06-01,4.0
2022-06-02,
2022-06-03,5.0
2022-06-04,7.0
2022-06-05,
2022-06-06,
2022-06-07,8.0
2022-06-08,
2022-06-09,10.0
2022-06-10,10.0
2022-06-11,
2022-06-12,
2022-06-13,
2022-06-14,
2022-06-15,17.0
2022-06-16,19.0
2022-06-17,23.0
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,25.0
2022-06-22,28.0
2022-06-23,30.0
2022-06-24,39.0
2022-06-25,
2022-06-26,
2022-06-27,48.0
2022-06-28,55.0
2022-06-29,62.0
2022-06-30,78.0
2022-07-01,87.0
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,111.0
2022-07-06,119.0
2022-07-07,141.0
2022-07-08,160.0
2022-07-09,
2022-07-10,
2022-07-11,223.0
2022-07-12,267.0
2022-07-13,336.0
2022-07-14,389.0
2022-07-15,461.0
2022-07-16,
2022-07-17,
2022-07-18,618.0
2022-07-19,639.0
2022-07-20,711.0
2022-07-21,778.0
2022-07-22,839.0
2022-07-23,
2022-07-24,
2022-07-25,
2022-07-26,1092.0
2022-07-27,1148.0
2022-07-28,1251.0
