Date,Count,QualityFlag
6/30/2022,78,
6/29/2022,62,
6/28/2022,55,
6/27/2022,48,
6/26/2022,,
6/25/2022,,
6/24/2022,39,
6/23/2022,30,
6/22/2022,28,
6/21/2022,25,
6/20/2022,,
6/19/2022,,
6/18/2022,,
6/17/2022,23,
6/16/2022,19,
6/15/2022,17,
6/14/2022,,
6/13/2022,,
6/12/2022,,
6/11/2022,,
6/10/2022,10,
6/9/2022,10,
6/8/2022,,
6/7/2022,8,
6/6/2022,,
6/5/2022,,
6/4/2022,7,1
6/3/2022,5,1
6/2/2022,,
6/1/2022,4,1
5/31/2022,,
5/30/2022,,
5/29/2022,,
5/28/2022,,
5/27/2022,2,
5/26/2022,,
5/25/2022,,
5/24/2022,,
5/23/2022,,
5/22/2022,,
5/21/2022,,
5/20/2022,,
5/19/2022,1,
